Patient ID,Species,Common Name,Admission Date,Location Found,City Found,County Found
2019-2751,DEJU,Dark-eyed Junco,7/4/2019,4565 Purdue Ave NE,Seattle,King
2019-2757,AMCR,American Crow,7/5/2019,6900 E Greenlake Way N,Seattle,King
2019-2758,AMCR,American Crow,7/5/2019,6900 E Greenlake Way N,Seattle,King
2019-2759,NOFL,Northern Flicker,7/5/2019,1349 13th Ave S,Seattle,King
2019-2766,AMCR,American Crow,7/5/2019,3809 43rd Ave NE,Seattle,King
2019-2774,NOFL,Northern Flicker,7/5/2019,16th and Union,Seattle,King
2019-2782,NOFL,Northern Flicker,7/5/2019,2205 SW 112th St,Seattle,King
2019-2788,BLRA,Black Rat,7/5/2019,2061 15th Ave W,Seattle,King
2019-2791,GBHE,Great Blue Heron,7/5/2019,Lincoln Park,Seattle,King
2019-2806,GWGU,Glaucous-winged Gull,7/6/2019,212 Alaskan Way S,Seattle,King
2019-2821,AMCR,American Crow,7/6/2019,89th and Linden,Seattle,King
2019-2822,NOFL,Northern Flicker,7/6/2019,7533 19th Ave NW,Seattle,King
2019-2823,VGSW,Violet-green Swallow,7/6/2019,2061 15th Ave W,Seattle,King
2019-2839,EACO,Eastern Cottontail,7/7/2019,6758 35th ave sw,Seattle,King
2019-2840,EACO,Eastern Cottontail,7/7/2019,6758 35th ave sw,Seattle,King
2019-2841,EACO,Eastern Cottontail,7/7/2019,6758 35th ave sw,Seattle,King
2019-2847,NOFL,Northern Flicker,7/7/2019,606 NE 88 ST,Seattle,King
